media_type,channel_name,is_public_channel,year,hour,women_expression_rate,speech_rate,nb_hours_analyzed
radio,Chérie FM,False,2006,15,39.16110748669755,14.401853068805773,41.0
radio,Chérie FM,False,2006,16,36.173404540298975,15.7663385333947,31.0
radio,Chérie FM,False,2006,17,43.71171182611026,20.04849123614306,35.0
radio,Chérie FM,False,2006,18,45.18727094143297,18.319145144650804,42.0
radio,Chérie FM,False,2006,19,46.70243581128163,15.300779285271002,41.0
radio,Chérie FM,False,2006,20,40.60206382634991,10.907428917283802,53.0
radio,Chérie FM,False,2006,21,37.27517438891391,9.02774365092835,33.0
radio,Chérie FM,False,2006,22,45.391732206184486,8.523725660547129,45.0
radio,Chérie FM,False,2006,23,52.09634813525796,7.663189960038247,29.0
radio,Chérie FM,False,2007,5,57.12004538146027,11.194692555379868,27.0
radio,Chérie FM,False,2007,6,50.39376238656516,33.46386365927667,30.0
